X, Y, label, Band_1, Band_2, Band_3, Band_4, Band_5, Band_6, Band_7, NDVI, NDWI, 
579867.8, 2290529.0, aqua, 852.0, 2385.0, 520.0, 869.0, 2133.0, 1632.5, 1163.5, 0.474, -0.466, 
587159.9, 2327249.0, aqua, 683.0, 1490.0, 480.0, 712.0, 1680.0, 1611.0, 1303.0, 0.371, -0.353, 
597728.4, 2337827.0, aqua, 1043.5, 2172.0, 598.5, 909.5, 2271.5, 2298.0, 1897.5, 0.351, -0.41, 
588048.7, 2296602.0, aqua, 851.0, 2088.0, 544.0, 890.0, 1909.0, 1498.0, 1046.0, 0.421, -0.402, 
596914.9, 2336017.0, aqua, 840.0, 2599.5, 473.5, 845.0, 2570.5, 2282.0, 1277.5, 0.512, -0.509, 
592998.1, 2309836.0, aqua, 812.0, 2152.5, 476.5, 862.5, 1831.5, 1350.0, 863.5, 0.452, -0.428, 
576710.4, 2294258.0, aqua, 881.5, 2338.5, 496.5, 911.0, 2057.5, 1545.0, 838.0, 0.452, -0.439, 
529131.5, 2337264.0, aqua, 715.0, 1460.0, 432.0, 774.0, 1548.0, 1228.0, 635.0, 0.343, -0.307, 
597024.3, 2309318.0, aqua, 811.0, 2572.0, 492.0, 817.0, 2312.0, 1846.5, 1155.0, 0.521, -0.518, 
576340.3, 2335089.0, aqua, 790.0, 2371.0, 441.5, 844.0, 2558.0, 1716.0, 1123.5, 0.5, -0.475, 
571872.2, 2292860.0, aqua, 773.0, 1972.0, 447.0, 814.0, 1903.0, 1299.5, 796.0, 0.437, -0.416, 
583593.7, 2290836.0, aqua, 935.0, 1719.0, 574.5, 1079.0, 1035.0, 707.0, 416.5, 0.295, -0.229, 
573321.0, 2278670.0, aqua, 911.0, 1989.0, 563.0, 961.0, 1636.0, 1057.0, 541.0, 0.372, -0.348, 
611664.1, 2327167.0, aqua, 897.0, 2351.0, 493.0, 928.0, 2188.0, 1603.0, 924.0, 0.448, -0.434, 
616378.6, 2312422.0, aqua, 1064.0, 2660.0, 628.0, 1022.0, 2492.0, 2093.0, 1362.0, 0.429, -0.445, 
595203.3, 2308932.0, aqua, 877.5, 2378.0, 533.0, 901.0, 2115.0, 1641.0, 1080.5, 0.461, -0.45, 
594300.8, 2328193.0, aqua, 996.0, 2301.5, 604.5, 964.0, 2135.0, 1692.0, 1243.5, 0.396, -0.41, 
519763.9, 2390684.0, aqua, 828.0, 2340.0, 500.0, 837.0, 2033.0, 1471.0, 976.0, 0.477, -0.473, 
584685.6, 2283139.0, aqua, 766.0, 2351.0, 480.0, 826.0, 1929.0, 1679.5, 893.0, 0.509, -0.48, 
528196.4, 2360566.0, aqua, 790.0, 2252.0, 449.0, 794.0, 1862.0, 1449.5, 963.0, 0.481, -0.479, 
563615.4, 2328738.0, aqua, 773.0, 2874.0, 433.0, 814.0, 2688.0, 2096.0, 1420.0, 0.576, -0.559, 
543870.4, 2346006.0, aqua, 763.0, 2616.5, 422.5, 795.5, 2487.5, 1761.0, 1145.0, 0.548, -0.534, 
625751.8, 2342086.0, aqua, 1061.5, 2204.0, 591.5, 1058.5, 2040.5, 1753.5, 1092.5, 0.35, -0.351, 
576939.6, 2350619.0, aqua, 800.0, 2433.5, 436.5, 838.5, 2425.5, 1891.0, 1060.5, 0.505, -0.487, 
511254.3, 2365900.0, aqua, 728.0, 2166.0, 398.0, 791.0, 1887.0, 1302.0, 784.0, 0.497, -0.465, 
562580.4, 2317666.0, aqua, 811.0, 2598.0, 479.0, 887.0, 2391.0, 1734.0, 1118.0, 0.524, -0.491, 
587414.2, 2300506.0, aqua, 891.0, 2318.0, 528.0, 889.0, 1984.0, 1638.0, 999.0, 0.445, -0.446, 
618838.6, 2343602.0, aqua, 882.0, 3098.0, 525.0, 935.0, 2795.0, 2053.5, 1132.0, 0.557, -0.536, 
623415.0, 2327090.0, aqua, 747.0, 2595.5, 455.0, 832.0, 2397.0, 1681.0, 1036.0, 0.553, -0.515, 
557019.9, 2335665.0, aqua, 804.5, 2636.0, 447.5, 828.5, 2423.5, 1904.5, 1159.5, 0.532, -0.522, 
611074.6, 2291648.0, aqua, 833.0, 2850.0, 458.5, 847.5, 2658.5, 2043.0, 1001.0, 0.548, -0.542, 
594368.1, 2303128.0, aqua, 760.5, 2371.0, 487.0, 835.0, 1821.5, 1192.0, 700.5, 0.514, -0.479, 
581163.5, 2324753.0, aqua, 1068.5, 1989.5, 644.0, 979.0, 1786.0, 1673.0, 1402.0, 0.301, -0.34, 
591833.1, 2312817.0, aqua, 654.0, 1917.0, 431.0, 742.0, 1873.0, 1478.0, 1052.0, 0.491, -0.442, 
573826.1, 2296803.0, aqua, 836.0, 2668.0, 503.0, 828.0, 2479.0, 1845.0, 1063.0, 0.523, -0.526, 
597886.8, 2315859.0, aqua, 713.0, 2439.0, 429.0, 786.0, 2172.0, 1539.0, 891.0, 0.548, -0.513, 
582709.0, 2335615.0, aqua, 925.0, 2434.0, 520.0, 936.0, 2276.0, 1518.0, 992.0, 0.449, -0.445, 
586314.0, 2305498.0, aqua, 843.5, 2378.5, 501.5, 903.5, 2282.0, 1865.0, 861.5, 0.476, -0.449, 
532716.8, 2355725.0, aqua, 761.0, 2244.5, 431.0, 762.5, 1944.5, 1847.0, 1003.5, 0.494, -0.493, 
626771.8, 2323645.0, aqua, 842.0, 3102.0, 480.0, 867.0, 2630.0, 2106.0, 1121.0, 0.573, -0.563, 
527317.7, 2331844.0, aqua, 535.0, 2653.5, 323.0, 654.0, 2167.5, 2058.0, 672.0, 0.664, -0.605, 
577133.3, 2300795.0, aqua, 759.5, 2322.5, 484.0, 819.0, 2195.0, 1730.0, 1220.5, 0.507, -0.479, 
597051.8, 2300532.0, aqua, 683.0, 2858.0, 420.0, 789.0, 2511.0, 1368.0, 1022.0, 0.614, -0.567, 
580326.7, 2295386.0, aqua, 921.0, 2434.0, 580.0, 941.0, 2174.0, 1675.0, 1048.0, 0.451, -0.442, 
612890.8, 2304604.0, aqua, 906.0, 2797.0, 489.0, 850.0, 2594.0, 2364.0, 1258.0, 0.511, -0.534, 
508773.3, 2377276.0, aqua, 744.5, 1759.0, 435.0, 760.5, 1784.5, 1438.5, 729.0, 0.405, -0.396, 
609101.6, 2306966.0, aqua, 886.5, 2732.0, 511.0, 887.5, 2474.0, 2262.0, 1225.5, 0.51, -0.51, 
556944.9, 2320953.0, aqua, 750.0, 2661.0, 423.0, 807.5, 2661.0, 2072.0, 1206.0, 0.56, -0.534, 
511605.0, 2375202.0, aqua, 645.0, 2217.0, 356.0, 703.0, 1864.0, 1432.0, 689.0, 0.549, -0.518, 
537221.3, 2355488.0, aqua, 1239.0, 2161.0, 661.5, 1139.0, 2567.5, 2372.0, 1868.5, 0.271, -0.31, 
513349.5, 2367758.0, aqua, 518.0, 2669.0, 325.0, 616.0, 2212.0, 1405.0, 781.0, 0.675, -0.625, 
587674.5, 2298342.0, aqua, 1005.0, 2071.5, 610.0, 996.0, 1782.5, 1439.0, 856.0, 0.347, -0.351, 
519647.8, 2391019.0, aqua, 806.0, 2229.0, 507.0, 831.0, 2078.0, 1571.0, 1102.0, 0.469, -0.457, 
553576.8, 2320641.0, barren, 850.0, 2357.0, 452.0, 884.0, 2379.0, 2090.5, 1318.0, 0.47, -0.454, 
610434.3, 2311231.0, barren, 1045.0, 2787.0, 573.0, 1019.0, 2553.0, 2252.0, 1367.0, 0.455, -0.465, 
600553.5, 2320320.0, barren, 1136.5, 2516.5, 758.5, 1138.0, 2494.5, 2467.0, 1661.0, 0.378, -0.377, 
556583.4, 2320102.0, barren, 933.5, 2728.5, 510.5, 938.0, 2831.0, 2532.0, 1442.5, 0.49, -0.488, 
585295.8, 2319494.0, barren, 802.5, 1581.5, 561.5, 766.5, 1500.5, 1793.0, 1140.0, 0.327, -0.347, 
597996.3, 2302051.0, barren, 759.0, 2716.0, 460.0, 807.0, 2572.0, 1791.0, 1101.0, 0.563, -0.542, 
490220.0, 2390967.0, barren, 942.0, 2089.0, 538.0, 891.0, 2226.0, 1562.5, 996.0, 0.378, -0.402, 
538481.8, 2356391.0, barren, 930.0, 2513.5, 528.0, 936.5, 2235.5, 1927.0, 1209.5, 0.46, -0.457, 
609623.5, 2315161.0, barren, 1311.5, 2723.5, 716.5, 1231.5, 2621.0, 2432.5, 1965.0, 0.35, -0.377, 
490999.9, 2379647.0, barren, 712.0, 2953.0, 464.0, 815.5, 2754.5, 2151.5, 963.0, 0.611, -0.567, 
511665.5, 2367994.0, barren, 690.0, 2750.0, 380.0, 777.0, 2569.0, 1625.0, 1026.0, 0.599, -0.559, 
522315.2, 2384943.0, barren, 619.0, 2615.0, 391.0, 653.0, 2491.0, 1554.0, 785.0, 0.617, -0.6, 
508735.5, 2395738.0, barren, 594.0, 2701.0, 409.5, 663.5, 2540.0, 1894.5, 998.5, 0.639, -0.606, 
591285.0, 2332714.0, barren, 782.5, 2933.5, 438.5, 843.5, 2652.0, 1983.0, 1163.0, 0.579, -0.553, 
554963.9, 2323649.0, barren, 821.0, 2203.0, 408.0, 777.0, 2400.0, 1807.5, 1214.0, 0.457, -0.479, 
609981.0, 2295353.0, barren, 1176.0, 2641.0, 671.0, 1116.5, 2464.5, 1927.5, 1332.0, 0.384, -0.406, 
516990.8, 2393533.0, barren, 703.0, 2419.5, 445.0, 767.0, 2228.5, 1588.0, 1013.0, 0.55, -0.519, 
492498.3, 2361241.0, barren, 369.0, 3253.5, 315.0, 496.5, 2840.5, 1618.0, 670.0, 0.796, -0.735, 
