X,Y,label,B1,B2,B3,B4,B5,B6,B7,DEM,NDVI,NDWI
81,24,10,828.0,2340.0,500.0,837.0,2033.0,1471.0,976.0,19,0.477,-0.473
215,246,10,766.0,2351.0,480.0,826.0,1929.0,1679.5,893.0,9,0.509,-0.48
99,86,10,790.0,2252.0,449.0,794.0,1862.0,1449.5,963.0,17,0.481,-0.479
172,152,10,773.0,2874.0,433.0,814.0,2688.0,2096.0,1420.0,16,0.576,-0.559
131,116,10,763.0,2616.5,422.5,795.5,2487.5,1761.0,1145.0,12,0.548,-0.534
300,125,10,1061.5,2204.0,591.5,1058.5,2040.5,1753.5,1092.5,9,0.35,-0.351
199,107,10,800.0,2433.5,436.5,838.5,2425.5,1891.0,1060.5,10,0.505,-0.487
64,75,10,728.0,2166.0,398.0,791.0,1887.0,1302.0,784.0,18,0.497,-0.465
170,175,10,811.0,2598.0,479.0,887.0,2391.0,1734.0,1118.0,9,0.524,-0.491
221,211,10,891.0,2318.0,528.0,889.0,1984.0,1638.0,999.0,7,0.445,-0.446
286,121,10,882.0,3098.0,525.0,935.0,2795.0,2053.5,1132.0,5,0.557,-0.536
296,156,10,747.0,2595.5,455.0,832.0,2397.0,1681.0,1036.0,11,0.553,-0.515
158,138,10,804.5,2636.0,447.5,828.5,2423.5,1904.5,1159.5,12,0.532,-0.522
270,229,10,833.0,2850.0,458.5,847.5,2658.5,2043.0,1001.0,9,0.548,-0.542
235,205,10,760.5,2371.0,487.0,835.0,1821.5,1192.0,700.5,11,0.514,-0.479
208,160,10,1068.5,1989.5,644.0,979.0,1786.0,1673.0,1402.0,11,0.301,-0.34
230,185,10,654.0,1917.0,431.0,742.0,1873.0,1478.0,1052.0,19,0.491,-0.442
193,218,10,836.0,2668.0,503.0,828.0,2479.0,1845.0,1063.0,6,0.523,-0.526
243,179,10,713.0,2439.0,429.0,786.0,2172.0,1539.0,891.0,11,0.548,-0.513
211,138,10,925.0,2434.0,520.0,936.0,2276.0,1518.0,992.0,20,0.449,-0.445
219,200,10,843.5,2378.5,501.5,903.5,2282.0,1865.0,861.5,9,0.476,-0.449
108,96,10,761.0,2244.5,431.0,762.5,1944.5,1847.0,1003.5,19,0.494,-0.493
302,163,10,842.0,3102.0,480.0,867.0,2630.0,2106.0,1121.0,8,0.573,-0.563
97,146,10,535.0,2653.5,323.0,654.0,2167.5,2058.0,672.0,37,0.664,-0.605
200,210,10,759.5,2322.5,484.0,819.0,2195.0,1730.0,1220.5,6,0.507,-0.479
241,210,10,683.0,2858.0,420.0,789.0,2511.0,1368.0,1022.0,12,0.614,-0.567
206,221,10,921.0,2434.0,580.0,941.0,2174.0,1675.0,1048.0,7,0.451,-0.442
274,202,10,906.0,2797.0,489.0,850.0,2594.0,2364.0,1258.0,9,0.511,-0.534
58,52,10,744.5,1759.0,435.0,760.5,1784.5,1438.5,729.0,10,0.405,-0.396
266,197,10,886.5,2732.0,511.0,887.5,2474.0,2262.0,1225.5,8,0.51,-0.51
158,168,10,750.0,2661.0,423.0,807.5,2661.0,2072.0,1206.0,12,0.56,-0.534
64,56,10,645.0,2217.0,356.0,703.0,1864.0,1432.0,689.0,2,0.549,-0.518
117,97,10,1239.0,2161.0,661.5,1139.0,2567.5,2372.0,1868.5,2,0.271,-0.31
68,71,10,518.0,2669.0,325.0,616.0,2212.0,1405.0,781.0,48,0.675,-0.625
222,215,10,1005.0,2071.5,610.0,996.0,1782.5,1439.0,856.0,6,0.347,-0.351
81,23,10,806.0,2229.0,507.0,831.0,2078.0,1571.0,1102.0,-4,0.469,-0.457
151,169,5,850.0,2357.0,452.0,884.0,2379.0,2090.5,1318.0,28,0.47,-0.454
269,188,5,1045.0,2787.0,573.0,1019.0,2553.0,2252.0,1367.0,5,0.455,-0.465
248,170,5,1136.5,2516.5,758.5,1138.0,2494.5,2467.0,1661.0,12,0.378,-0.377
157,170,5,933.5,2728.5,510.5,938.0,2831.0,2532.0,1442.5,22,0.49,-0.488
217,171,5,802.5,1581.5,561.5,766.5,1500.5,1793.0,1140.0,11,0.327,-0.347
243,207,5,759.0,2716.0,460.0,807.0,2572.0,1791.0,1101.0,7,0.563,-0.542
20,23,5,942.0,2089.0,538.0,891.0,2226.0,1562.5,996.0,17,0.378,-0.402
120,95,5,930.0,2513.5,528.0,936.5,2235.5,1927.0,1209.5,17,0.46,-0.457
267,180,5,1311.5,2723.5,716.5,1231.5,2621.0,2432.5,1965.0,9,0.35,-0.377
22,47,5,712.0,2953.0,464.0,815.5,2754.5,2151.5,963.0,49,0.611,-0.567
64,71,5,690.0,2750.0,380.0,777.0,2569.0,1625.0,1026.0,57,0.599,-0.559
86,36,5,619.0,2615.0,391.0,653.0,2491.0,1554.0,785.0,49,0.617,-0.6
58,14,5,594.0,2701.0,409.5,663.5,2540.0,1894.5,998.5,29,0.639,-0.606
229,144,5,782.5,2933.5,438.5,843.5,2652.0,1983.0,1163.0,26,0.579,-0.553
154,163,5,821.0,2203.0,408.0,777.0,2400.0,1807.5,1214.0,22,0.457,-0.479
268,221,5,1176.0,2641.0,671.0,1116.5,2464.5,1927.5,1332.0,20,0.384,-0.406
75,18,5,703.0,2419.5,445.0,767.0,2228.5,1588.0,1013.0,15,0.55,-0.519
25,85,5,369.0,3253.5,315.0,496.5,2840.5,1618.0,670.0,366,0.796,-0.735
154,157,5,686.0,2615.0,383.0,754.5,2589.5,1992.0,1336.5,24,0.584,-0.552
242,143,5,936.0,2467.0,545.5,946.0,2449.5,1950.5,1310.0,9,0.45,-0.446
258,199,5,998.0,2797.0,632.0,1075.0,2488.0,2223.0,1547.0,13,0.474,-0.445
34,25,5,574.0,2581.0,348.0,633.5,2291.0,1282.0,649.0,55,0.636,-0.606
272,187,5,1313.0,2516.5,709.5,1221.5,2643.5,2327.0,1556.0,6,0.314,-0.346
100,66,5,679.0,2888.0,302.0,646.0,2897.0,1595.5,832.0,45,0.619,-0.634
237,217,5,828.0,2483.0,531.5,837.5,2466.0,1977.0,1367.5,11,0.5,-0.496
194,156,5,831.0,2705.0,486.0,879.0,2653.0,1749.0,1149.0,7,0.53,-0.509
280,183,5,1165.0,2627.0,672.0,1115.0,2502.0,2372.5,1705.0,8,0.386,-0.404
271,132,5,899.5,2628.5,503.0,886.5,2194.0,1832.0,951.5,10,0.49,-0.496
199,156,5,979.0,2336.0,556.0,905.0,2314.0,2199.0,1644.0,13,0.409,-0.442
